,Model,Year,Oil,Volume,Power,GSB,Drive,Color,Kilometers,Wheel,Generation,Complectation,Price,Pred_Price
454,Веста Кросс,2018,бензин,1.8,122,робот,передний,бежевый,100000,левый,1 поколение,1.8 AMT Luxe + пакет Multimedia,930000,999336.4721832275
459,2109,2001,бензин,1.5,71,механика,передний,белый,150000,левый,"1 поколение, рестайлинг",1.5 MT Люкс,59000,82671.68058776855
460,2114 Самара,2004,бензин,1.5,77,механика,передний,белый,150000,левый,1 поколение,1.5 MT Базовая,84000,93535.87977600098
462,Гранта,2019,бензин,1.6,87,механика,передний,коричневый,34000,левый,"1 поколение, рестайлинг",1.6 MT Comfort,669000,648368.3671569824
463,2114 Самара,2011,бензин,1.6,81,механика,передний,серый,169271,левый,1 поколение,1.6 MT 21144-30-010,245000,212873.45385742188
464,2113 Самара,2007,бензин,1.5,77,механика,передний,серебристый,220000,левый,1 поколение,1.5 MT Базовая,113000,114492.28411865234
467,Гранта,2013,бензин,1.6,98,АКПП,передний,серебристый,250000,левый,1 поколение,1.6 AT Норма 011,420000,419999.06758117676
470,21099,2000,бензин,1.5,72,механика,передний,зеленый,120000,левый,1 поколение,1.5 MT 21099-02 Люкс,69000,84720.62979125977
471,2113 Самара,2007,бензин,1.6,80,механика,передний,синий,181000,левый,1 поколение,1.6 MT 21134-22-010,105000,124652.97679138184
475,Нива Тревел,2021,бензин,1.7,80,механика,4WD,серый,15000,левый,1 поколение,1.7 MT Luxe,1150000,1244006.98727417
476,2111,2004,бензин,1.5,78,механика,передний,красный,70000,левый,1 поколение,1.5i MT Стандарт,163000,67536.92970275879
478,2108,1987,бензин,1.3,64,механика,передний,бежевый,74281,левый,1 поколение,1.3 MT 21086,180000,80153.1194152832
479,2112,2006,бензин,1.6,89,механика,передний,серебристый,41347,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,135000,131954.44261169434
482,Приора,2008,бензин,1.6,98,механика,передний,черный,60000,левый,1 поколение,1.6 MT Норма 21723-01-011,230000,241092.14642333984
484,Приора,2011,бензин,1.6,98,механика,передний,зеленый,102000,левый,1 поколение,1.6 MT Люкс 21723-73-039,265000,264998.3544616699
485,2104,2002,бензин,1.5,71,механика,задний,бордовый,42000,левый,1 поколение,1.5 MT 21041 VF,64000,86399.13803100586
488,2114 Самара,2004,бензин,1.5,77,механика,передний,серебристый,148520,левый,1 поколение,1.5 MT Базовая,115000,103005.53657531738
489,2109,1995,бензин,1.5,70,механика,передний,черный,69855,левый,"1 поколение, рестайлинг",1.5 MT Люкс,58000,60219.370666503906
494,2115 Самара,2005,бензин,1.5,70,механика,передний,зеленый,150000,левый,1 поколение,1.5 MT Базовая,45000,131062.7105102539
495,2104,2004,бензин,1.5,71,механика,задний,красный,82000,левый,1 поколение,1.5 MT4 21043,46000,97865.28923034668
496,2114 Самара,2004,бензин,1.5,77,механика,передний,серый,150085,левый,1 поколение,1.5 MT Базовая,49000,118639.6401977539
500,Гранта,2015,бензин,1.6,87,механика,передний,синий,193000,левый,1 поколение,1.6 MT Стандарт,395000,331345.7296600342
502,2112,2004,бензин,1.5,93,механика,передний,серебристый,165000,левый,1 поколение,1.5 MT Базовая 5-дв.,109000,108996.37550354004
503,2114 Самара,2011,бензин,1.6,81,механика,передний,черный,83390,левый,1 поколение,1.6 MT 21144-30-010,180000,221245.8928527832
504,Веста,2017,бензин,1.6,106,робот,передний,серый,135000,левый,1 поколение,1.6 AMT Comfort,530000,686750.5575714111
509,4x4 2121 Нива,2013,бензин,1.7,83,механика,4WD,белый,138000,левый,1 поколение,1.7 MT Стандарт + ABS+BAS,374000,397026.5980377197
518,2112,2008,бензин,1.6,89,механика,передний,серебристый,260000,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,120000,113645.7770690918
519,1111 Ока,1994,бензин,0.6,30,механика,передний,зеленый,77134,левый,1 поколение,0.6 MT 1111,55000,54969.073318481445
521,Х-рей Кросс,2022,бензин,1.6,113,вариатор,передний,коричневый,7000,левый,1 поколение,1.6 CVT Luxe + пакет Prestige,1510000,1429778.3879394531
522,Веста Кросс,2018,бензин,1.8,122,робот,передний,серебристый,127000,левый,1 поколение,1.8 AMT Luxe,780000,826694.0583190918
524,2114 Самара,2011,бензин,1.6,81,механика,передний,черный,131570,левый,1 поколение,1.6 MT 21144-30-010,190000,213761.50274658203
526,2109,2000,бензин,1.5,68,механика,передний,синий,220000,левый,"1 поколение, рестайлинг",1.5 MT Люкс,67000,37719.9005279541
527,2114 Самара,2010,бензин,1.6,81,механика,передний,белый,158000,левый,1 поколение,1.6 MT 21144-22-010,160000,178595.4412536621
529,2113 Самара,2005,бензин,1.5,77,механика,передний,синий,15700,левый,1 поколение,1.5 MT Базовая,155000,119317.9817199707
530,4x4 Урбан,2017,бензин,1.7,83,механика,4WD,серый,60000,левый,1 поколение,1.7 MT Люкс 3 дв.,580000,573876.2970428467
531,Гранта,2012,бензин,1.6,87,механика,передний,синий,174000,левый,1 поколение,1.6 MT Норма 014,280000,280000.7537841797
532,Гранта,2020,бензин,1.6,87,механика,передний,коричневый,1547,левый,"1 поколение, рестайлинг",1.6 MT Classic + пакет Optima,900000,696359.0232696533
533,Веста Кросс,2020,бензин,1.6,106,механика,передний,серый,30000,левый,1 поколение,1.6 MT Comfort + пакет Winter,1020000,1011827.162612915
535,2114 Самара,2011,бензин,1.6,81,механика,передний,зеленый,156000,левый,1 поколение,1.6 MT 21144-30-010,250000,196375.4239501953
536,Приора,2012,бензин,1.6,98,механика,передний,серебристый,167501,левый,1 поколение,1.6 MT Норма 21703-71-049,340000,339998.65234375
539,Приора,2010,бензин,1.6,98,механика,передний,черный,241000,левый,1 поколение,1.6 MT Люкс 21723-01-020,245000,240278.4555053711
540,2114 Самара,2011,бензин,1.6,81,механика,передний,черный,139000,левый,1 поколение,1.6 MT 21144-32-010,280000,240963.40370178223
541,Гранта,2016,бензин,1.6,87,механика,передний,коричневый,96000,левый,1 поколение,1.6 MT Стандарт,390000,377838.5665435791
543,2114 Самара,2006,бензин,1.5,77,механика,передний,зеленый,224235,левый,1 поколение,1.5 MT Базовая,80000,104218.82028198242
545,Веста,2019,бензин,1.6,106,механика,передний,белый,52000,левый,1 поколение,1.6 MT Classic,880000,851627.2251281738
547,2114 Самара,2010,бензин,1.6,89,механика,передний,черный,200000,левый,1 поколение,1.6 MT 211440-24,169000,220220.15180969238
549,Гранта,2021,бензин,1.6,90,механика,передний,белый,27000,левый,"1 поколение, рестайлинг",1.6 MT Comfort,699000,667766.3329620361
550,Веста Кросс,2020,бензин,1.6,113,вариатор,передний,белый,29500,левый,1 поколение,1.6 CVT Luxe + пакет Multimedia,1415000,1262326.2035980225
551,2109,1992,бензин,1.3,64,механика,передний,красный,67000,левый,1 поколение,1.3 MT,60000,72438.44396972656
552,Гранта,2012,бензин,1.6,87,механика,передний,зеленый,106000,левый,1 поколение,1.6 MT Норма 010,315000,297050.2475128174
556,Приора,2009,бензин,1.6,98,механика,передний,зеленый,230000,левый,1 поколение,1.6 MT Норма 21703-01-010,238000,211247.47355651855
557,2113 Самара,2008,бензин,1.6,80,механика,передний,серебристый,110000,левый,1 поколение,1.6 MT 21134-22-010,170000,154764.31062316895
559,2112,2008,бензин,1.6,89,механика,передний,черный,20000,левый,1 поколение,1.6 MT Базовая 3-дв. 21123,235000,199283.70222473145
560,2114 Самара,2010,бензин,1.6,81,механика,передний,черный,164044,левый,1 поколение,1.6 MT 21144-22-010,160000,197805.00744628906
562,2104,2011,бензин,1.6,74,механика,задний,зеленый,80000,левый,1 поколение,1.6 MT 21041,175000,203971.21118164062
564,2114 Самара,2012,бензин,1.6,89,механика,передний,серебристый,180000,левый,1 поколение,1.6 MT 211440-24,225000,228075.67820739746
566,2114 Самара,2006,бензин,1.5,77,механика,передний,бежевый,199000,левый,1 поколение,1.5 MT Базовая,66000,132325.8334197998
567,2115 Самара,2010,бензин,1.6,81,механика,передний,серый,195323,левый,1 поколение,1.6 MT 21154-20-010,250000,189992.33291625977
569,4x4 2121 Нива,1997,бензин,1.7,79,механика,4WD,бордовый,53000,левый,1 поколение,1.7 MT,215000,206449.0977783203
570,Гранта,2021,бензин,1.6,90,механика,передний,серый,12000,левый,"1 поколение, рестайлинг",1.6 MT Comfort,749000,695213.4313812256
571,Ларгус Кросс,2016,бензин,1.6,105,механика,передний,белый,97000,левый,1 поколение,1.6 MT Luxe 5 мест,738000,748636.0962982178
572,Ларгус,2020,бензин,1.6,106,механика,передний,белый,37000,левый,1 поколение,1.6 MT Luxe 5 мест,945000,685888.1434783936
573,2112,2006,бензин,1.6,89,механика,передний,черный,249341,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,165000,110552.88902282715
575,4x4 2121 Нива,2002,бензин,1.6,80,механика,4WD,синий,125455,левый,1 поколение,1.6 MT Base,170000,220349.75309753418
581,2114 Самара,2012,бензин,1.6,81,механика,передний,черный,126000,левый,1 поколение,1.6 MT 21144-30-012,200000,238252.63040161133
585,Гранта,2019,бензин,1.6,87,механика,передний,бордовый,65000,левый,"1 поколение, рестайлинг",1.6 MT Classic,607000,635358.8614654541
589,2111,2005,бензин,1.6,82,механика,передний,зеленый,400000,левый,1 поколение,1.6i MT Люкс,167000,59696.66862487793
591,Гранта,2020,бензин,1.6,87,механика,передний,коричневый,38000,левый,"1 поколение, рестайлинг",1.6 MT Classic,645000,644534.8609008789
592,Ларгус,2017,бензин,1.6,102,механика,передний,серебристый,93000,левый,1 поколение,1.6 MT Luxe A2D 5 мест,730000,729996.6030883789
593,Гранта,2016,бензин,1.6,87,механика,передний,белый,237000,левый,1 поколение,1.6 MT Норма SE,435000,435000.56413269043
594,2115 Самара,2006,бензин,1.5,76,механика,передний,черный,250000,левый,1 поколение,1.5i MT Базовая,112000,113854.62190246582
596,2114 Самара,2012,бензин,1.6,81,механика,передний,серый,114000,левый,1 поколение,1.6 MT 21144-40-022,145000,184201.47492980957
597,4x4 2131 Нива,2006,бензин,1.7,80,механика,4WD,зеленый,200000,левый,1 поколение,1.7 MT Стандарт,185000,252144.26252746582
599,Веста,2017,бензин,1.6,106,механика,передний,белый,73125,левый,1 поколение,1.6 MT Luxe + пакет Multimedia,795000,665546.5686645508
602,Приора,2010,бензин,1.6,98,механика,передний,серебристый,155000,левый,1 поколение,1.6 MT Норма 21713-81-035,230000,229998.87898254395
605,Х-рей,2017,бензин,1.8,122,робот,передний,черный,68000,левый,1 поколение,1.8 AМТ Optima + пакет Advanced,790000,790001.5865936279
610,4x4 2121 Нива,2021,бензин,1.7,83,механика,4WD,черный,10000,левый,"1 поколение, рестайлинг",1.7 MT Luxe,1900000,1016807.1600952148
614,Приора,2015,бензин,1.6,106,механика,передний,белый,145000,левый,"1 поколение, рестайлинг",1.6 MT Норма 21705-31-055,480000,479996.5287322998
615,21099,2001,бензин,1.5,70,механика,передний,серебристый,200875,левый,1 поколение,1.5 MT 21099-00 Стандарт,80000,63715.248107910156
620,Приора,2008,бензин,1.6,98,механика,передний,серебристый,110000,левый,1 поколение,1.6 MT Норма 21703-01-030,289000,288998.87979125977
625,Веста Кросс,2019,бензин,1.8,122,робот,передний,оранжевый,99000,левый,1 поколение,1.8 AMT Luxe + пакет Prestige,899000,1002609.1606903076
628,2104,2009,бензин,1.6,74,механика,задний,серебристый,18683,левый,1 поколение,1.6 MT 21041,150000,200521.30960083008
629,2114 Самара,2012,бензин,1.6,89,механика,передний,серый,100000,левый,1 поколение,1.6 MT 211440-24,165000,256380.2733154297
631,Веста,2022,бензин,1.6,106,механика,передний,белый,8550,левый,1 поколение,1.6 MT Comfort Light,1159000,1158994.4844207764
633,Приора,2010,бензин,1.6,98,механика,передний,серебристый,178000,левый,1 поколение,1.6 MT Люкс 21703-03-033,267000,213809.79667663574
635,2114 Самара,2011,бензин,1.6,81,механика,передний,зеленый,169000,левый,1 поколение,1.6 MT 21144-30-010,235000,194355.97456359863
636,Веста,2019,бензин,1.6,106,механика,передний,серебристый,65800,левый,1 поколение,1.6 MT Comfort + пакет Image,808000,812705.8184051514
637,2114 Самара,2005,бензин,1.5,77,механика,передний,черный,256000,левый,1 поколение,1.5 MT Базовая,150000,105046.74784851074
640,Веста,2019,бензин,1.6,106,механика,передний,коричневый,94000,левый,1 поколение,1.6 MT Comfort + пакет Multimedia,795000,794995.5485076904
641,Веста Кросс,2018,бензин,1.8,122,робот,передний,черный,107000,левый,1 поколение,1.8 AMT Luxe + пакет Prestige,950000,883532.201385498
642,Приора,2009,бензин,1.6,98,механика,передний,черный,45000,левый,1 поколение,1.6 MT Люкс 21703-03-049,505000,504998.2710876465
643,2104,2007,бензин,1.6,74,механика,задний,красный,43000,левый,1 поколение,1.6 MT 21041,270000,177088.36087036133
647,4x4 Урбан,2020,бензин,1.7,83,механика,4WD,коричневый,9400,левый,"1 поколение, рестайлинг",1.7 MT Luxe 3 дв.,950000,956451.3053588867
648,2115 Самара,2006,бензин,1.5,76,механика,передний,зеленый,240000,левый,1 поколение,1.5i MT Базовая,140000,101816.97714233398
651,Ларгус,2020,бензин,1.6,106,механика,передний,белый,61000,левый,1 поколение,1.6 MT Kub,885000,908371.8729095459
655,2106,1993,бензин,1.3,64,механика,задний,белый,222222,левый,1 поколение,1.3 MT 21063,30000,49137.497619628906
656,4x4 Урбан,2018,бензин,1.7,83,механика,4WD,черный,35000,левый,1 поколение,1.7 MT Luxe/Snow Queen 3 дв.,707000,707004.0459899902
657,2112,2007,бензин,1.6,81,механика,передний,серебристый,178642,левый,1 поколение,1.6 MT Базовая 5-дв.,135000,133609.18395996094
658,2106,1989,бензин,1.3,64,механика,задний,серый,71000,левый,1 поколение,1.3 MT 21063,25000,66430.85791015625
661,4x4 2121 Нива,2013,бензин,1.7,83,механика,4WD,бордовый,78150,левый,1 поколение,1.7 MT Стандарт,550000,442301.61700439453
663,Приора,2012,бензин,1.6,87,механика,передний,серебристый,180000,левый,1 поколение,1.6 МТ Стандарт 21702-20-040,265000,269263.6413574219
664,Х-рей,2017,бензин,1.8,122,робот,передний,черный,44000,левый,1 поколение,1.8 AМТ Luxe + пакет Prestige,819000,838367.2717437744
665,Ларгус,2018,бензин,1.6,87,механика,передний,белый,100000,левый,1 поколение,1.6 MT Norma 5 мест,710000,569225.2543945312
666,4x4 2121 Нива,2020,бензин,1.7,83,механика,4WD,белый,6000,левый,"1 поколение, рестайлинг",1.7 MT Luxe+Кондиционер,955000,1016903.4130249023
667,21099,1998,бензин,1.5,72,механика,передний,коричневый,100000,левый,1 поколение,1.5 MT 21099-00 Стандарт,35000,84398.95007324219
669,1111 Ока,2004,бензин,0.7,33,механика,передний,красный,89000,левый,1 поколение,0.6 MT 11113,115000,77639.18687438965
670,Нива Легенд,2021,бензин,1.7,83,механика,4WD,черный,490,левый,1 поколение,1.7 MT Black,1290000,1290003.3361358643
672,Приора,2017,бензин,1.6,87,механика,передний,черный,89000,левый,"1 поколение, рестайлинг",1.6 MT Стандарт 21702-40-050,499000,477577.6926727295
673,2114 Самара,2005,бензин,1.5,77,механика,передний,желтый,255792,левый,1 поколение,1.5 MT Базовая,110000,91671.64755249023
674,Гранта,2020,бензин,1.6,87,механика,передний,коричневый,1600,левый,"1 поколение, рестайлинг",1.6 MT Classic + пакет Optima,790000,696350.7901306152
675,2112,2004,бензин,1.5,91,механика,передний,зеленый,140,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,69000,119449.08444213867
676,Гранта,2015,бензин,1.6,106,механика,передний,синий,20550,левый,1 поколение,1.6 MT Люкс,620000,526870.9755706787
677,Веста,2020,бензин,1.6,106,механика,передний,белый,72000,левый,1 поколение,1.6 MT Comfort,750000,867389.9029388428
678,Ларгус,2020,бензин,1.6,87,механика,передний,белый,88500,левый,1 поколение,1.6 MT Kub,840000,750608.2155303955
681,4x4 2121 Нива,1997,бензин,1.7,79,механика,4WD,красный,106000,левый,1 поколение,1.7 MT Base,250000,185700.69146728516
689,Гранта,2013,бензин,1.6,98,механика,передний,серебристый,220500,левый,1 поколение,1.6 MT Люкс 019,320000,319998.8633117676
690,Приора,2010,бензин,1.6,98,механика,передний,белый,140000,левый,1 поколение,1.6 MT Люкс 21713-03-49,200000,199998.7745513916
693,2114 Самара,2007,бензин,1.6,81,механика,передний,серебристый,76000,левый,1 поколение,1.6 MT 21144-20-010,165000,139280.03466796875
694,2111,2005,бензин,1.6,89,механика,передний,зеленый,120000,левый,1 поколение,1.6i MT Люкс,59000,159742.0919189453
695,4x4 2121 Нива,2021,бензин,1.7,83,механика,4WD,коричневый,15000,левый,"1 поколение, рестайлинг",1.7 MT Luxe+Кондиционер,960000,1044916.3800964355
696,1111 Ока,2000,бензин,0.7,33,механика,передний,зеленый,56000,левый,1 поколение,0.6 MT 11113,40000,52766.45236206055
698,4x4 2131 Нива,2019,бензин,1.7,83,механика,4WD,синий,42900,левый,"1 поколение, рестайлинг",1.7 MT Luxe,785000,899556.3593597412
699,2101,1986,бензин,1.2,59,механика,задний,красный,99000,левый,1 поколение,1.2 MT 21013,57000,64470.37274169922
700,Гранта,2018,бензин,1.6,106,робот,передний,белый,98000,левый,"1 поколение, рестайлинг",1.6 AMT Comfort,499000,590023.4915008545
701,Х-рей,2017,бензин,1.6,106,механика,передний,белый,70000,левый,1 поколение,1.6 МТ Optima + пакет Air Conditioner,650000,649995.6954193115
705,2114 Самара,2012,бензин,1.6,81,механика,передний,серебристый,130000,левый,1 поколение,1.6 MT 21144-40-022,190000,165838.78450012207
706,2115 Самара,2005,бензин,1.5,70,механика,передний,зеленый,240000,левый,1 поколение,1.5 MT Базовая,165000,117081.90705871582
707,2104,2011,бензин,1.6,74,механика,задний,синий,94000,левый,1 поколение,1.6 MT 21041,180000,193225.44187927246
708,Гранта,2020,бензин,1.6,98,АКПП,передний,серебристый,31000,левый,"1 поколение, рестайлинг",1.6 AT Comfort,1110000,982773.4624938965
716,2115 Самара,2007,бензин,1.6,81,механика,передний,серебристый,56000,левый,1 поколение,1.6 MT 21154-20-010,245000,172271.7897644043
717,4x4 Урбан,2019,бензин,1.7,83,механика,4WD,черный,24000,левый,"1 поколение, рестайлинг",1.7 MT Luxe 3 дв.,950000,944920.7157592773
718,Гранта,2022,бензин,1.6,90,механика,передний,коричневый,675,левый,"1 поколение, рестайлинг",1.6 MT Classic ’22,697000,696997.4195404053
719,2114 Самара,2005,бензин,1.5,77,механика,передний,белый,186297,левый,1 поколение,1.5 MT Базовая,130000,95726.11463928223
720,21099,2001,бензин,1.5,78,механика,передний,синий,227000,левый,1 поколение,1.5i MT 21099-20 Стандарт,75000,38361.77192687988
721,Веста,2017,бензин,1.8,122,механика,передний,серый,97000,левый,1 поколение,1.8 MT Luxe + пакет Multimedia,800000,780551.1126708984
729,Гранта,2012,бензин,1.6,82,механика,передний,черный,142276,левый,1 поколение,1.6 MT Стандарт,280000,297508.7123260498
734,2115 Самара,2010,бензин,1.6,81,механика,передний,зеленый,96684,левый,1 поколение,1.6 MT 21154-22-010,299000,176450.28463745117
738,Веста Кросс,2020,бензин,1.6,113,вариатор,передний,синий,40000,левый,1 поколение,1.6 CVT Comfort + пакет Winter,1230000,1329814.7742919922
740,2112,2007,бензин,1.6,89,механика,передний,серый,230000,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,144000,126354.5662689209
746,2114 Самара,2007,бензин,1.6,81,механика,передний,серебристый,168212,левый,1 поколение,1.6 MT 21144-22-010,178000,162762.7576904297
747,21099,1997,бензин,1.5,70,механика,передний,синий,200000,левый,1 поколение,1.5 MT 21099-00 Стандарт,25000,21283.060592651367
754,2101,1979,бензин,1.3,64,механика,задний,красный,9750,левый,1 поколение,1.3 MT 21011,55000,85620.24792480469
756,21099,2002,бензин,1.5,72,механика,передний,голубой,303543,левый,1 поколение,1.5 MT 210992-01 Норма,50000,77604.4877166748
757,2106,2002,бензин,1.6,75,механика,задний,синий,117669,левый,1 поколение,1.6 MT4 2106,125000,109816.15818786621
758,2114 Самара,2007,бензин,1.6,81,механика,передний,зеленый,150000,левый,1 поколение,1.6 MT 21144-20-010,80000,125102.3445892334
759,2109,2000,бензин,1.5,70,механика,передний,красный,64570,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,58000,83324.63934326172
760,Гранта,2018,бензин,1.6,87,механика,передний,белый,161000,левый,1 поколение,1.6 MT Standard,350000,448802.03605651855
761,2112,2003,бензин,1.5,91,механика,передний,серый,80000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,90000,117774.33567810059
762,2112,2007,бензин,1.6,89,механика,передний,черный,484000,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,135000,81929.12239074707
763,2114 Самара,2005,бензин,1.5,77,механика,передний,серебристый,310000,левый,1 поколение,1.5 MT Базовая,78000,85749.56121826172
765,2104,1988,бензин,1.3,64,механика,задний,белый,150000,левый,1 поколение,1.3 MT 2104,35000,46392.79577636719
766,Приора,2012,бензин,1.6,98,механика,передний,зеленый,220000,левый,1 поколение,1.6 MT Норма 21723-01-047,330000,329999.01766967773
767,Ларгус Кросс,2019,бензин,1.6,106,механика,передний,коричневый,53000,левый,1 поколение,1.6 MT Luxe 5 мест,740000,808618.1018371582
768,Приора,2013,бензин,1.6,98,механика,передний,черный,137000,левый,"1 поколение, рестайлинг",1.6 MT Норма 21703-31-043,285000,284998.2822570801
775,2106,1990,бензин,1.6,75,механика,задний,бежевый,50000,левый,1 поколение,1.6 MT 21065,40000,42757.63105773926
776,2106,2000,бензин,1.6,75,механика,задний,серебристый,51300,левый,1 поколение,1.6 MT4 2106,69000,115722.02334594727
778,2109,1998,бензин,1.5,70,механика,передний,синий,100000,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,53000,54908.2420501709
781,Приора,2009,бензин,1.6,98,механика,передний,серебристый,269000,левый,1 поколение,1.6 MT Люкс 21713-01-018,260000,182957.00997924805
783,2113 Самара,2012,бензин,1.6,81,механика,передний,синий,159000,левый,1 поколение,1.6 MT Люкс 21134-42-010,125000,125001.77217102051
784,2112,2005,бензин,1.6,89,механика,передний,серебристый,123000,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,56000,111441.58811950684
785,2104,1996,бензин,1.5,71,механика,задний,золотистый,144000,левый,1 поколение,1.5 MT4 21043,60000,29328.505126953125
786,Веста Кросс,2018,бензин,1.6,106,механика,передний,коричневый,54000,левый,1 поколение,1.6 MT Luxe,879000,919751.635848999
787,Ларгус,2014,бензин,1.6,84,механика,передний,белый,167000,левый,1 поколение,1.6 MT Norma 5 мест,390000,503267.0126800537
790,4x4 2131 Нива,2015,бензин,1.7,83,механика,4WD,серебристый,185000,левый,1 поколение,1.7 MT Стандарт,375000,351850.5339202881
794,2101,1987,бензин,1.2,59,механика,задний,бежевый,69300,левый,1 поколение,1.2 MT 21013,40000,102415.4243774414
795,Гранта,2015,бензин,1.6,87,механика,передний,белый,82000,левый,1 поколение,1.6 MT Норма,350000,364022.936920166
796,2120 Надежда,2003,бензин,1.8,84,механика,4WD,синий,200000,левый,"1 поколение, рестайлинг",1.8 MT Стандарт,150000,167980.53450012207
797,Приора,2011,бензин,1.6,98,механика,передний,серый,99980,левый,1 поколение,1.6 MT Норма 21703-21-042,220000,219998.3397064209
801,Гранта,2020,бензин,1.6,87,механика,передний,белый,52000,левый,"1 поколение, рестайлинг",1.6 MT Comfort,777777,631818.544845581
802,Веста Кросс,2020,бензин,1.6,113,вариатор,передний,серый,33000,левый,1 поколение,1.6 CVT Luxe + пакет Multimedia,1330000,1286899.470199585
803,2115 Самара,2002,бензин,1.5,76,механика,передний,серебристый,190000,левый,1 поколение,1.5i MT Базовая,70000,80951.68141174316
804,4x4 2121 Нива,1997,бензин,1.7,79,механика,4WD,красный,200000,левый,1 поколение,1.7 MT,120000,164426.14149475098
806,2106,1990,бензин,1.3,64,механика,задний,бежевый,39000,левый,1 поколение,1.3 MT 21063,95000,84857.87725830078
808,4x4 2121 Нива,2007,бензин,1.7,80,механика,4WD,белый,189623,левый,1 поколение,1.7 MT Стандарт,238000,329348.16415405273
809,Х-рей,2019,бензин,1.6,106,механика,передний,черный,53300,левый,1 поколение,1.6 МТ Comfort,860000,859995.2658081055
810,2106,1998,бензин,1.5,72,механика,задний,зеленый,55000,левый,1 поколение,1.5 MT 21065-01,43000,68986.19761657715
811,Гранта,2016,бензин,1.6,106,робот,передний,серебристый,100500,левый,1 поколение,1.6 AMT Норма Классик+,460000,459996.06269836426
813,4x4 Урбан,2014,бензин,1.7,83,механика,4WD,коричневый,85000,левый,1 поколение,1.7 MT Люкс 3 дв.,630000,542972.0518951416
814,Ларгус Кросс,2018,бензин,1.6,106,механика,передний,бежевый,75585,левый,1 поколение,1.6 MT Luxe 7 мест,920000,798783.2912597656
815,Гранта,2019,бензин,1.6,87,механика,передний,белый,50000,левый,"1 поколение, рестайлинг",1.6 MT Classic,650000,613259.7063598633
817,21099,2000,бензин,1.5,70,механика,передний,зеленый,222222,левый,1 поколение,1.5 MT 21099-00 Стандарт,65000,49888.10119628906
818,2114 Самара,2004,бензин,1.5,77,механика,передний,серебристый,60000,левый,1 поколение,1.5 MT Базовая,99000,116756.43347167969
819,2112,2006,бензин,1.6,89,механика,передний,черный,125000,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,79000,129868.30104064941
824,2115 Самара,2004,бензин,1.5,76,механика,передний,серебристый,400000,левый,1 поколение,1.5i MT Базовая,120000,63987.192474365234
825,2111,2005,бензин,1.6,89,механика,передний,голубой,100000,левый,1 поколение,1.6i MT Люкс,145000,166074.47305297852
829,Гранта,2013,бензин,1.6,98,АКПП,передний,черный,114000,левый,1 поколение,1.6 AT Норма,350000,349998.12226867676
830,4x4 2121 Нива,1997,бензин,1.7,79,механика,4WD,белый,160000,левый,1 поколение,1.7 MT,120000,165398.18688964844
831,4x4 2121 Нива,2010,бензин,1.7,80,механика,4WD,зеленый,92354,левый,1 поколение,1.7 MT Стандарт,359000,374501.616607666
833,2101,1979,бензин,1.3,64,механика,задний,бежевый,65000,левый,1 поколение,1.3 MT 21011,150000,102540.28164672852
835,2112,2004,бензин,1.5,91,механика,передний,серебристый,185000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,128000,93414.876953125
836,2106,1999,бензин,1.5,72,механика,задний,зеленый,160000,левый,1 поколение,1.5 MT 21065-01,45000,60503.95314025879
839,4x4 2121 Нива,2020,бензин,1.7,83,механика,4WD,черный,29534,левый,"1 поколение, рестайлинг",1.7 MT Classic,729000,743676.3937530518
840,2114 Самара,2007,бензин,1.6,81,механика,передний,черный,200000,левый,1 поколение,1.6 MT 21144-22-010,150000,168733.44245910645
843,Приора,2014,бензин,1.6,106,механика,передний,бордовый,175000,левый,"1 поколение, рестайлинг",1.6 MT Норма 21725-31-055,450000,449996.8943939209
845,2106,2001,бензин,1.5,72,механика,задний,бордовый,42000,левый,1 поколение,1.5 MT 21065-01,96000,112363.62721252441
846,Приора,2013,бензин,1.6,98,механика,передний,белый,117000,левый,"1 поколение, рестайлинг",1.6 MT Люкс 21723-33-046,345000,344998.14335632324
849,2114 Самара,2008,бензин,1.6,81,механика,передний,серебристый,150000,левый,1 поколение,1.6 MT 21144-20-010,165000,135613.4002685547
850,4x4 2121 Нива,2011,бензин,1.7,80,механика,4WD,зеленый,9100,левый,1 поколение,1.7 MT Стандарт + ABS+BAS,470000,383714.67839050293
856,Приора,2011,бензин,1.6,98,механика,передний,черный,156000,левый,1 поколение,1.6 MT Люкс 21723-03-039,285000,284998.72888183594
860,Приора,2014,бензин,1.6,98,механика,передний,черный,190000,левый,"1 поколение, рестайлинг",1.6 MT Люкс 21703-33-046,550000,549998.4937744141
861,2114 Самара,2004,бензин,1.5,77,механика,передний,серебристый,350000,левый,1 поколение,1.5 MT Базовая,70000,71707.17791748047
