,Model,Year,Oil,Volume,Power,GSB,Drive,Color,Kilometers,Wheel,Generation,Complectation,Price,Pred_Price
115,Приора,2011,бензин,1.6,98,механика,передний,черный,150000,левый,1 поколение,1.6 MT Норма 21703-01-010,250000,252923.30752563477
116,2115 Самара,2008,бензин,1.6,80,механика,передний,черный,117000,левый,1 поколение,1.6 MT 21154-20-010,140000,173454.79641723633
121,Гранта,2013,бензин,1.6,98,механика,передний,серебристый,180000,левый,1 поколение,1.6 MT Норма 011,230000,300628.62254333496
122,2109,1999,бензин,1.5,68,механика,передний,зеленый,333333,левый,"1 поколение, рестайлинг",1.5 MT Норма,60000,40385.16313171387
123,Ларгус,2020,бензин,1.6,106,механика,передний,белый,22000,левый,1 поколение,1.6 MT Kub,850000,914430.2210693359
124,2115 Самара,2005,бензин,1.5,76,механика,передний,серебристый,178000,левый,1 поколение,1.5i MT Базовая,130000,106301.86720275879
127,Веста,2020,бензин,1.6,113,вариатор,передний,белый,29000,левый,1 поколение,1.6 CVT Classic + пакет Start Plus,1120000,1119993.6305084229
131,2114 Самара,2005,бензин,1.5,77,механика,передний,красный,240000,левый,1 поколение,1.5 MT Базовая,90000,92625.41424560547
132,Веста Кросс,2018,бензин,1.8,122,робот,передний,синий,75000,левый,1 поколение,1.8 AMT Luxe + пакет Multimedia,1100000,970462.0998535156
134,Приора,2012,бензин,1.6,98,механика,передний,бордовый,150000,левый,1 поколение,1.6 MT Люкс SE 21703-03-041,290000,289998.5309906006
135,2113 Самара,2005,бензин,1.5,77,механика,передний,белый,166000,левый,1 поколение,1.5 MT Базовая,100000,97983.63018798828
138,2109,1992,бензин,1.3,64,механика,передний,бежевый,100000,левый,1 поколение,1.3 MT,55000,92814.84298706055
139,2111,2001,бензин,1.5,72,механика,передний,серебристый,219000,левый,1 поколение,1.5 MT Норма,82000,78280.74993896484
142,2114 Самара,2005,бензин,1.5,77,механика,передний,серебристый,300000,левый,1 поколение,1.5 MT Базовая,195000,87302.9838256836
145,2114 Самара,2008,бензин,1.6,81,механика,передний,черный,237000,левый,1 поколение,1.6 MT 21144-20-010,140000,133007.32818603516
146,2106,2003,бензин,1.6,75,механика,задний,красный,35000,левый,1 поколение,1.6 MT 21065,190000,121358.07885742188
148,2114 Самара,2012,бензин,1.6,89,механика,передний,черный,300000,левый,1 поколение,1.6 MT 211440-24,165000,220343.3115081787
149,Веста,2018,бензин,1.8,122,механика,передний,серый,94200,левый,1 поколение,1.8 MT Luxe + пакет Multimedia,780000,788814.7638702393
150,4x4 2121 Нива,1992,бензин,1.6,73,механика,4WD,красный,60000,левый,1 поколение,1.6 MT Base,150000,102936.39680480957
153,4x4 2121 Нива,1994,бензин,1.6,80,механика,4WD,красный,100000,левый,1 поколение,1.6 MT Base,50000,168929.6824951172
154,2106,1994,бензин,1.3,64,механика,задний,белый,52480,левый,1 поколение,1.3 MT 21063,130000,83334.29649353027
157,Ларгус,2012,бензин,1.6,105,механика,передний,белый,142000,левый,1 поколение,1.6 MT Luxe 7 мест,470000,591209.4533081055
159,2109,1994,бензин,1.5,69,механика,передний,бежевый,200000,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,45000,32738.660400390625
161,Приора,2015,бензин,1.6,106,робот,передний,белый,91000,левый,"1 поколение, рестайлинг",1.6 AMT Люкс 21725-33-053,575000,574996.1526184082
164,4x4 2121 Нива,2014,бензин,1.7,83,механика,4WD,белый,100000,левый,1 поколение,1.7 MT,450000,340120.5531768799
165,4x4 Урбан,2016,бензин,1.7,83,механика,4WD,коричневый,140000,левый,1 поколение,1.7 MT Люкс 3 дв.,500000,550085.6133117676
168,2114 Самара,2008,бензин,1.6,81,механика,передний,серый,10000,левый,1 поколение,1.6 MT 21144-22-010,165000,211045.67456054688
172,2115 Самара,2007,бензин,1.6,81,механика,передний,черный,203151,левый,1 поколение,1.6 MT 21154-20-010,130000,160321.72535705566
181,1111 Ока,2003,бензин,0.7,33,механика,передний,красный,120000,левый,1 поколение,0.6 MT 11113,62000,64994.88391113281
182,2106,1990,бензин,1.3,64,механика,задний,голубой,40000,левый,1 поколение,1.3 MT 21063,49900,63741.11973571777
183,Гранта,2020,бензин,1.6,106,механика,передний,серый,12300,левый,"1 поколение, рестайлинг",1.6 MT Luxe,759000,691329.2146453857
184,1111 Ока,1999,бензин,0.7,33,механика,передний,белый,54668,левый,1 поколение,0.6 MT 11113,55000,38587.28791809082
185,Ларгус Кросс,2019,бензин,1.6,106,механика,передний,белый,60000,левый,1 поколение,1.6 MT Luxe 5 мест,850000,785948.351486206
187,2113 Самара,2010,бензин,1.6,80,механика,передний,черный,5000,левый,1 поколение,1.6 MT 21134-22-010,249000,197641.3383178711
189,2114 Самара,2008,бензин,1.6,80,механика,передний,синий,240000,левый,1 поколение,1.6 MT 21144-20-010,138500,102300.74346923828
194,Гранта,2021,бензин,1.6,98,АКПП,передний,черный,20000,левый,"1 поколение, рестайлинг",1.6 AT Comfort,1100000,1003219.6248016357
197,Приора,2010,бензин,1.6,80,механика,передний,белый,112846,левый,1 поколение,1.6 MT Стандарт 21702-00-010,195000,217223.23864746094
204,2114 Самара,2004,бензин,1.5,77,механика,передний,серый,300000,левый,1 поколение,1.5 MT Базовая,50000,95351.50520324707
208,2115 Самара,2007,бензин,1.5,76,механика,передний,серебристый,150000,левый,1 поколение,1.5i MT Базовая,100000,126308.83627319336
209,4x4 2121 Нива,1990,бензин,1.6,73,механика,4WD,белый,21360,левый,1 поколение,1.6 MT Base,147000,88039.79096984863
210,2114 Самара,2011,бензин,1.6,81,механика,передний,серебристый,157000,левый,1 поколение,1.6 MT 21144-30-010,175000,198902.4444885254
214,2101,1978,бензин,1.3,64,механика,задний,желтый,60000,левый,1 поколение,1.3 MT 21011,90000,71485.00476074219
215,Ларгус,2019,бензин,1.6,106,механика,передний,бежевый,53900,левый,1 поколение,1.6 MT Luxe 5 мест,600000,706178.5050201416
222,2114 Самара,2005,бензин,1.5,77,механика,передний,серебристый,120000,левый,1 поколение,1.5 MT Базовая,120000,115264.59072875977
225,2104,2012,бензин,1.6,74,механика,задний,серый,42060,левый,1 поколение,1.6 MT 21041,250000,236253.16648864746
226,4x4 2121 Нива,1995,бензин,1.7,80,механика,4WD,белый,50000,левый,1 поколение,1.7 MT,230000,174906.96269226074
227,Приора,2008,бензин,1.6,98,механика,передний,серебристый,265030,левый,1 поколение,1.6 MT Люкс 21723-01-018,200000,186352.06909179688
229,Веста,2020,бензин,1.6,113,вариатор,передний,серый,44000,левый,1 поколение,1.6 CVT Comfort + пакет Winter,1190000,1187418.2288208008
230,2114 Самара,2012,бензин,1.6,89,механика,передний,черный,160000,левый,1 поколение,1.6 MT 211440-24,235000,242091.22798156738
233,2109,2000,бензин,1.5,72,механика,передний,синий,109996,левый,"1 поколение, рестайлинг",1.5i MT Люкс,50000,9546.861312866211
234,Гранта Кросс,2019,бензин,1.6,106,робот,передний,белый,31000,левый,1 поколение,1.6 AMT Luxe,815000,814995.1101379395
235,2111,2001,бензин,1.5,72,механика,передний,зеленый,250000,левый,1 поколение,1.5 MT Стандарт,45000,49302.02503967285
238,4x4 2131 Нива,2000,бензин,1.7,79,механика,4WD,голубой,74000,левый,1 поколение,1.7 MT Стандарт-2131,220000,178029.89141845703
239,Гранта,2018,бензин,1.6,87,механика,передний,белый,15000,левый,"1 поколение, рестайлинг",1.6 MT Classic,593000,610867.9925994873
244,2115 Самара,2009,бензин,1.6,81,механика,передний,серый,203000,левый,1 поколение,1.6 MT 21154-22-010,150000,170665.8010559082
246,4x4 2121 Нива,2020,бензин,1.7,83,механика,4WD,серый,6500,левый,"1 поколение, рестайлинг",1.7 MT Luxe+Кондиционер,2000000,1041942.7064208984
248,2102,1974,бензин,1.2,59,механика,задний,зеленый,120000,левый,1 поколение,1.2 MT 21021-01,200000,199993.78018188477
249,Ларгус Кросс,2018,бензин,1.6,106,механика,передний,серый,220000,левый,1 поколение,1.6 MT Luxe 5 мест,600000,778381.8614349365
253,Веста Кросс,2018,бензин,1.8,122,механика,передний,оранжевый,68000,левый,1 поколение,1.8 MT Luxe + пакет Prestige,940000,902719.1537628174
254,2114 Самара,2006,бензин,1.5,77,механика,передний,зеленый,220000,левый,1 поколение,1.5 MT Базовая,125000,104876.6947479248
256,2114 Самара,2007,бензин,1.6,81,механика,передний,черный,111111,левый,1 поколение,1.6 MT 21144-20-010,130000,144734.51713562012
259,2114 Самара,2012,бензин,1.6,81,механика,передний,серебристый,70000,левый,1 поколение,1.6 MT 21144-42-010,300000,251861.36268615723
260,Веста Кросс,2018,бензин,1.8,122,механика,передний,белый,60500,левый,1 поколение,1.8 MT Luxe + пакет Multimedia,900000,937838.5646972656
262,2114 Самара,2009,бензин,1.6,81,механика,передний,зеленый,185425,левый,1 поколение,1.6 MT 21144-20-010,155000,135256.73077392578
266,Веста Кросс,2021,бензин,1.6,113,вариатор,передний,оранжевый,8500,левый,1 поколение,1.6 CVT Black,1600000,1608032.0605773926
267,2114 Самара,2010,бензин,1.6,81,механика,передний,серебристый,90000,левый,1 поколение,1.6 MT 21144-20-010,155000,160591.32168579102
269,2111,2002,бензин,1.5,91,механика,передний,зеленый,171000,левый,1 поколение,1.5i MT Стандарт,45000,142526.38581848145
270,Гранта,2018,бензин,1.6,87,механика,передний,серебристый,140000,левый,"1 поколение, рестайлинг",1.6 MT Standart,450000,522416.32987976074
274,2106,2003,бензин,1.6,75,механика,задний,зеленый,124000,левый,1 поколение,1.6 MT4 2106,70000,125232.3568725586
275,4x4 2121 Нива,2011,бензин,1.7,80,механика,4WD,синий,116000,левый,1 поколение,1.7 MT Стандарт,315000,370086.10874938965
276,Гранта,2021,бензин,1.6,90,механика,передний,белый,13000,левый,"1 поколение, рестайлинг",1.6 MT Classic,730000,658900.2944946289
277,4x4 2121 Нива,2021,бензин,1.7,83,механика,4WD,черный,17000,левый,"1 поколение, рестайлинг",1.7 MT Luxe+Кондиционер,1100000,1043171.7958679199
281,2112,2003,бензин,1.5,91,механика,передний,зеленый,111111,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,101000,94381.90556335449
285,2106,1996,бензин,1.6,75,механика,задний,синий,89857,левый,1 поколение,1.6 MT 21065,50000,50780.383041381836
286,2114 Самара,2007,бензин,1.6,81,механика,передний,серебристый,158007,левый,1 поколение,1.6 MT 21144-22-010,95000,164348.02545166016
287,Ларгус,2020,бензин,1.6,106,механика,передний,белый,58000,левый,1 поколение,1.6 MT Kub,899000,908837.8996887207
291,2104,2001,бензин,1.5,71,механика,задний,зеленый,89000,левый,1 поколение,1.5 MT 21041 VF,69000,53397.45733642578
293,2114 Самара,2014,бензин,1.6,81,механика,передний,черный,100000,левый,1 поколение,1.6 MT 21144-42-020,237000,261970.40264892578
298,Ларгус,2021,бензин,1.6,90,механика,передний,белый,1700,левый,"1 поколение, рестайлинг",1.6 MT Comfort Light 7 мест,1240000,1239997.5839233398
301,2109,2003,бензин,1.5,78,механика,передний,серебристый,160000,левый,"1 поколение, рестайлинг",1.5i MT,50000,68824.17184448242
304,Приора,2010,бензин,1.6,80,механика,передний,белый,238000,левый,1 поколение,1.6 MT Стандарт 21702-00-010,220000,197781.53337097168
305,2106,1994,бензин,1.5,72,механика,задний,голубой,34141,левый,1 поколение,1.5 MT 21065-01,65000,44137.24621582031
310,2104,2011,бензин,1.6,74,механика,задний,красный,21000,левый,1 поколение,1.6 MT 21041,135000,211820.6621246338
312,4x4 2121 Нива,2016,бензин,1.7,83,механика,4WD,белый,112000,левый,1 поколение,1.7 MT Elbrus Edition,415000,415004.89501953125
319,4x4 2121 Нива,2021,бензин,1.7,83,механика,4WD,серебристый,5600,левый,"1 поколение, рестайлинг",1.7 MT Luxe,900000,1006581.9614562988
323,2109,2000,бензин,1.5,70,механика,передний,зеленый,200000,левый,"1 поколение, рестайлинг",1.5 MT Люкс,70000,65554.74922180176
324,2109,2005,бензин,1.5,78,механика,передний,серебристый,80000,левый,"1 поколение, рестайлинг",1.5i MT,165000,96908.93844604492
325,2115 Самара,2012,бензин,1.6,81,механика,передний,серебристый,170000,левый,1 поколение,1.6 MT Люкс 21154-32,219000,219001.84838867188
330,2112,2006,бензин,1.6,89,механика,передний,серебристый,235000,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,130000,101871.9478149414
331,4x4 2121 Нива,1988,бензин,1.6,80,механика,4WD,бежевый,150000,левый,1 поколение,1.6 MT,130000,194149.2487640381
