Марка,Модель,Год выпуска,Двигатель,Мощность,КПП,Привод,Цвет,Пробег,Руль,Поколение,Комплектация,Цена
Лада,2114 Самара,2006,"бензин, 1.6 л","80 л.с., налог",механика,передний,зеленый,999,левый,1 поколение,1.6 MT Базовая,80000
Лада,Калина,2012,"бензин, 1.4 л","89 л.с., налог",механика,передний,белый,172 759,0,1 поколение,0,245000
Лада,Гранта Кросс,2019,"бензин, 1.6 л","106 л.с., налог",механика,передний,оранжевый,48 000,левый,1 поколение,0,765000
Лада,Гранта,2022,"бензин, 1.6 л","90 л.с., налог",механика,передний,красный,38,левый,"1 поколение, рестайлинг",0,999000
Лада,Гранта,2020,"бензин, 1.6 л","106 л.с., налог",механика,передний,серый,20 000,левый,"1 поколение, рестайлинг",0,799000
Лада,4x4 2131 Нива,2019,"бензин, 1.7 л","83 л.с., налог",механика,4WD,серебристый,75 413,левый,1 поколение,0,770000
Лада,Веста,2016,"бензин, 1.6 л","106 л.с., налог",робот,передний,серый,124 760,левый,1 поколение,0,639000
Лада,2107,2008,"бензин, 1.6 л","72 л.с., налог",механика,задний,бордовый,82 000,0,1 поколение,1.6 MT 21074-30-011,210000
Лада,2106,1998,"бензин, 1.6 л","75 л.с., налог",механика,задний,белый,67 067,левый,1 поколение,1.6 MT5 2106,105000
Лада,2115 Самара,2012,"бензин, 1.6 л","81 л.с., налог",механика,передний,серебристый,184 000,левый,1 поколение,0,165000
Лада,Нива Легенд,2021,"бензин, 1.7 л","83 л.с., налог",механика,4WD,голубой,2 097,левый,1 поколение,1.7 MT Urban,1050000
Лада,Приора,2014,"бензин, 1.6 л","98 л.с., налог",механика,передний,серебристый,102 000,левый,"1 поколение, рестайлинг",0,450000
Лада,2114 Самара,2009,"бензин, 1.6 л","81 л.с., налог",механика,передний,черный,209 600,левый,1 поколение,0,140000
Лада,Гранта,2021,"бензин, 1.6 л","106 л.с., налог",робот,передний,белый,1 400,левый,"1 поколение, рестайлинг",0,800000
Лада,2107,2012,"бензин, 1.6 л","74 л.с., налог",механика,задний,серебристый,70 000,0,1 поколение,1.6 MT 21074-40-015 Стандарт,220000
Лада,2109,2003,"бензин, 1.5 л","78 л.с., налог",механика,передний,серебристый,500 000,левый,"1 поколение, рестайлинг",0,67000
Лада,2110,2000,"бензин, 1.6 л","80 л.с., налог",механика,передний,белый,145 000,0,1 поколение,1.6i MT 21101,65000
Лада,4x4 2121 Нива,2022,0,0,0,0,черный,150,левый,0,0,795000
Лада,Х-рей Кросс,2019,"бензин, 1.8 л","122 л.с., налог",механика,передний,белый,47 000,левый,1 поколение,1.8 MT Luxe + пакет Prestige,960000
Лада,2105,2002,"бензин, 1.5 л","71 л.с., налог",механика,задний,зеленый,112 830,0,1 поколение,0,75000
Лада,2106,2001,"бензин, 1.6 л","75 л.с., налог",механика,задний,зеленый,100 000,левый,1 поколение,1.6 MT4 2106,68000
Лада,Веста,2016,"бензин, 1.6 л","106 л.с., налог",робот,передний,серый,62 000,левый,1 поколение,0,599000
Лада,4x4 2121 Нива,2021,"бензин, 1.7 л","83 л.с., налог",механика,4WD,красный,28 000,левый,"1 поколение, рестайлинг",0,787000
Лада,4x4 2121 Нива,2021,"бензин, 1.7 л","83 л.с., налог",механика,4WD,серый,21 077,левый,"1 поколение, рестайлинг",0,797000
Лада,2114 Самара,2010,"бензин, 1.6 л","81 л.с., налог",механика,передний,серый,320,левый,1 поколение,0,200000
Лада,2114 Самара,2010,"бензин, 1.6 л","81 л.с., налог",механика,передний,белый,200 000,левый,1 поколение,0,125000
Лада,Приора,2013,"бензин, 1.6 л","98 л.с., налог",механика,передний,серебристый,198 000,левый,"1 поколение, рестайлинг",0,230000
Лада,Нива Тревел,2021,"бензин, 1.7 л","80 л.с., налог",механика,4WD,серый,20 500,левый,1 поколение,1.7 MT Luxe / Off-road,1145000
