Марка,Модель,Год выпуска,Двигатель,Мощность,КПП,Привод,Цвет,Пробег,Руль,Поколение,Комплектация,Цена
Лада,2115 Самара,2007,"бензин, 1.6 л","81 л.с., налог",механика,передний,черный,230 000,левый,1 поколение,0,80000
Лада,2114 Самара,2012,"бензин, 1.6 л","81 л.с., налог",механика,передний,серебристый,100 000,левый,1 поколение,0,160000
Лада,2106,1996,"бензин, 1.6 л","75 л.с., налог",механика,задний,бежевый,130 000,левый,1 поколение,0,65000
Лада,2104,2004,"бензин, 1.5 л","71 л.с., налог",механика,задний,зеленый,50 000,левый,1 поколение,1.5 MT 21041 VF,80000
Лада,2109,2001,"бензин, 1.5 л","68 л.с., налог",механика,передний,0,80 000,левый,"1 поколение, рестайлинг",0,70000
Лада,2115 Самара,2004,"бензин, 1.5 л","76 л.с., налог",механика,передний,красный,100 000,левый,1 поколение,1.5i MT Базовая,85000
Лада,2107,2011,"бензин, 1.6 л","74 л.с., налог",механика,задний,серебристый,20 377,0,1 поколение,1.6 MT 21074-40-015 Стандарт,239000
Лада,2109,2004,"бензин, 1.5 л","78 л.с., налог",механика,передний,серебристый,100 000,левый,"1 поколение, рестайлинг",1.5i MT Люкс,63000
Лада,2104,2011,"бензин, 1.6 л","74 л.с., налог",механика,задний,красный,21 000,левый,1 поколение,1.6 MT 21041,130000
Лада,Приора,2011,"бензин, 1.6 л, ГБО","98 л.с., налог",механика,передний,черный,293 000,левый,1 поколение,0,170000
Лада,2107,2007,"бензин, 1.6 л","74 л.с., налог",механика,задний,синий,58 963,0,1 поколение,0,130000
Лада,2107,2008,"бензин, 1.6 л","74 л.с., налог",механика,задний,бордовый,50 000,0,1 поколение,0,80000
Лада,2101,1980,"бензин, 1.3 л","64 л.с., налог",механика,задний,бежевый,999 999,правый,0,0,45000
Лада,2106,1998,"бензин, 1.6 л","75 л.с., налог",механика,задний,белый,67 067,левый,1 поколение,1.6 MT5 2106,170000
Лада,Приора,2011,"бензин, 1.6 л","98 л.с., налог",механика,передний,синий,180 000,левый,1 поколение,1.6 MT Норма 21723-71-039,305000
Лада,2106,2005,"бензин, 1.6 л","75 л.с., налог",механика,задний,белый,38 000,левый,1 поколение,1.6 MT 21065,80000
Лада,Приора,2010,"бензин, 1.6 л","98 л.с., налог",механика,передний,белый,246 000,левый,1 поколение,1.6 MT Люкс 21723-01-018,240000
Лада,Веста,2020,"бензин, 1.6 л","106 л.с., налог",механика,передний,красный,78 000,левый,1 поколение,0,800000
Лада,2107,2011,"бензин, 1.6 л","72 л.с., налог",механика,задний,серый,78 250,0,1 поколение,1.6 MT 21074-40-013 Стандарт,125000
Лада,Гранта,2014,"бензин, 1.6 л","98 л.с., налог",АКПП,передний,серебристый,54 450,левый,1 поколение,1.6 AT Норма,360000
Лада,21099,1993,"бензин, 1.5 л","70 л.с., налог",механика,передний,белый,185 000,левый,1 поколение,0,45000
Лада,2104,2001,"бензин, 1.5 л","71 л.с., налог",механика,задний,белый,79 000,левый,1 поколение,1.5 MT 21041 VF,55000
Лада,Приора,2014,"бензин, 1.6 л","106 л.с., налог",механика,передний,черный,133 000,левый,"1 поколение, рестайлинг",0,360000
Лада,2109,2002,"бензин, 1.5 л","77 л.с., налог",механика,передний,синий,320 000,правый,0,0,55000
Лада,2105,2002,"бензин, 1.5 л","71 л.с., налог",механика,задний,зеленый,113 000,0,1 поколение,0,87000
Лада,4x4 2121 Нива,2003,"бензин, 1.7 л","79 л.с., налог",механика,4WD,белый,1,левый,1 поколение,1.7 MT Base,175000
Лада,2115 Самара,2001,"бензин, 1.5 л","70 л.с., налог",механика,передний,серебристый,103 000,левый,1 поколение,1.5 MT Базовая,95000
Лада,2104,2001,"бензин, 1.5 л","71 л.с., налог",механика,задний,зеленый,59 000,левый,1 поколение,1.5 MT5 21043,65000
Лада,2107,2002,"бензин, 1.6 л","74 л.с., налог",механика,задний,фиолетовый,100 000,0,1 поколение,0,78000
Лада,2104,1997,"бензин, 1.5 л","71 л.с., налог",механика,задний,белый,100 000,левый,1 поколение,0,85000
Лада,Гранта,2013,"бензин, 1.6 л","87 л.с., налог",механика,передний,голубой,99 484,левый,1 поколение,1.6 MT Норма 013 ,240000
Лада,Ларгус,2013,"бензин, 1.6 л","84 л.с., налог",механика,передний,серебристый,215 000,левый,1 поколение,0,470000
Лада,Калина,2012,"бензин, 1.6 л","81 л.с., налог",механика,передний,красный,145 000,0,1 поколение,0,320000
Лада,Калина,2006,"бензин, 1.6 л","80 л.с., налог",механика,передний,синий,183 000,0,1 поколение,1.6 MT Норма 11193-30-046,179000
Лада,Веста,2019,"бензин, 1.6 л","106 л.с., налог",механика,передний,коричневый,69 000,левый,1 поколение,0,799000
Лада,2106,1994,"бензин, 1.6 л","75 л.с., налог",механика,задний,бежевый,17 614,левый,1 поколение,0,50000
Лада,2107,2010,"бензин, 1.6 л","72 л.с., налог",механика,задний,белый,60 000,0,1 поколение,0,90000
Лада,2107,2005,"бензин, 1.6 л","74 л.с., налог",механика,задний,белый,300 000,0,1 поколение,1.6 MT 21074-30-011,45000
Лада,2106,1991,"бензин, 1.3 л","64 л.с., налог",механика,задний,белый,150 004,левый,1 поколение,1.3 MT 21063,28000
Лада,2106,1990,"бензин, 1.3 л","64 л.с., налог",механика,задний,бежевый,137 000,левый,1 поколение,1.3 MT 21063,71000
Лада,2110,2000,"бензин, 1.5 л","71 л.с., налог",механика,передний,коричневый,11 111,0,1 поколение,1.5 MT 2110,75000
Лада,Приора,2010,"бензин, 1.6 л","98 л.с., налог",механика,передний,серебристый,83 000,левый,1 поколение,1.6 MT Норма 21723-01-011,285000
Лада,Веста Кросс,2020,"бензин, 1.6 л","106 л.с., налог",механика,передний,серый,17 000,левый,1 поколение,1.6 MT Comfort,1099000
Лада,Приора,2012,"бензин, 1.6 л, ГБО","98 л.с., налог",механика,передний,черный,155 588,левый,1 поколение,0,260000
Лада,2107,2011,"бензин, 1.6 л","72 л.с., налог",механика,задний,синий,63 000,0,1 поколение,1.6 MT 21074-30-011,169000
Лада,2109,2000,"бензин, 1.5 л","68 л.с., налог",механика,передний,зеленый,200 000,левый,"1 поколение, рестайлинг",0,63000
Лада,Приора,2012,"бензин, 1.6 л","87 л.с., налог",механика,передний,синий,151 000,левый,1 поколение,1.6 МТ Стандарт 21702-20-040,280000
Лада,2110,1997,"бензин, 1.5 л","71 л.с., налог",механика,передний,синий,240 000,0,1 поколение,1.5 MT 2110,45000
Лада,Приора,2008,"бензин, 1.6 л","98 л.с., налог",механика,передний,черный,235 000,левый,1 поколение,1.6 MT Норма 21723-01-012,215000
Лада,2106,1987,"бензин, 1.3 л","64 л.с., налог",механика,задний,белый,87 000,левый,1 поколение,1.3 MT 21063,48000
Лада,Приора,2011,"бензин, 1.6 л","98 л.с., налог",механика,передний,черный,167 830,левый,1 поколение,1.6 MT Норма 21723-01-011,250000
Лада,21099,2000,"бензин, 1.5 л","70 л.с., налог",механика,передний,розовый,160 000,левый,1 поколение,1.5 MT 21099-02 Люкс,80000
Лада,2114 Самара,2010,"бензин, 1.6 л","80 л.с., налог",механика,передний,серый,25 000,левый,1 поколение,0,120000
Лада,2107,2001,"бензин, 1.6 л","74 л.с., налог",механика,задний,бордовый,77 675,0,1 поколение,1.6 MT 21074-30-011,73000
Лада,2104,1997,"бензин, 1.5 л","71 л.с., налог",механика,задний,черный,100 000,левый,1 поколение,0,68000
Лада,2106,1997,"бензин, 1.6 л","75 л.с., налог",механика,задний,белый,71 809,левый,1 поколение,1.6 MT5 2106,33000
Лада,2114 Самара,2006,"бензин, 1.6 л","80 л.с., налог",механика,передний,зеленый,999,левый,1 поколение,1.6 MT Базовая,80000
Лада,2109,2003,"бензин, 1.5 л","78 л.с., налог",механика,передний,серебристый,500 000,левый,"1 поколение, рестайлинг",0,52000
Лада,2105,2002,"бензин, 1.5 л","71 л.с., налог",механика,задний,зеленый,112 830,0,1 поколение,0,75000
Лада,2106,2001,"бензин, 1.6 л","75 л.с., налог",механика,задний,зеленый,100 000,левый,1 поколение,1.6 MT4 2106,65000
Лада,Приора,2013,"бензин, 1.6 л","98 л.с., налог",механика,передний,серебристый,198 000,левый,"1 поколение, рестайлинг",0,230000
Лада,2106,1996,"бензин, 1.5 л","72 л.с., налог",механика,задний,бежевый,92 580,левый,1 поколение,0,35000
Лада,Приора,2010,"бензин, 1.6 л","98 л.с., налог",механика,передний,серый,170 000,левый,1 поколение,0,239000
Лада,2104,1995,"бензин, 1.5 л","71 л.с., налог",механика,задний,красный,25 000,левый,1 поколение,1.5 MT 21041 VF,33000
Лада,2115 Самара,2008,"бензин, 1.6 л","80 л.с., налог",механика,передний,черный,117 000,левый,1 поколение,1.6 MT 21154-20-010,140000
Лада,2106,2000,"бензин, 1.6 л","75 л.с., налог",механика,задний,0,76 000,левый,1 поколение,0,67000
Лада,2113 Самара,2005,"бензин, 1.5 л","77 л.с., налог",механика,передний,белый,166 000,левый,1 поколение,1.5 MT Базовая,100000
Лада,2105,2002,"бензин, 1.5 л","71 л.с., налог",механика,задний,синий,54 000,0,1 поколение,1.5 MT5 21053,40000
Лада,2107,2008,"бензин, 1.6 л","72 л.с., налог",механика,задний,белый,56 037,0,1 поколение,0,105000
Лада,2111,2001,"бензин, 1.5 л","72 л.с., налог",механика,передний,серебристый,219 000,левый,1 поколение,1.5 MT Норма,82000
Лада,2105,2005,"бензин, 1.5 л","71 л.с., налог",механика,задний,белый,80 000,0,1 поколение,1.5 MT5 21053,39000
Лада,2107,2008,"бензин, 1.6 л","76 л.с., налог",механика,задний,белый,686 638,0,1 поколение,1.6 MT 21074,63000
Лада,2109,1994,"бензин, 1.5 л","69 л.с., налог",механика,передний,бежевый,200 000,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,45000
Лада,2107,2005,"бензин, 1.6 л","74 л.с., налог",механика,задний,белый,130 000,0,1 поколение,1.6 MT 21074-30-011,33000
Лада,2110,2004,"бензин, 1.5 л","89 л.с., налог",механика,передний,серебристый,205 000,0,1 поколение,1.5i MT 21103 ,118000
Лада,2110,2002,"бензин, 1.5 л","70 л.с., налог",механика,передний,синий,66 000,0,1 поколение,1.5 MT 2110,89000
Лада,2107,2011,"бензин, 1.6 л","74 л.с., налог",механика,задний,бордовый,117 000,0,1 поколение,0,215000
Лада,2115 Самара,2002,"бензин, 1.5 л","76 л.с., налог",механика,передний,0,200 000,левый,1 поколение,1.5i MT Базовая,100000
Лада,2106,2003,"бензин, 1.6 л","75 л.с., налог",механика,задний,фиолетовый,81 500,левый,1 поколение,0,99000
Лада,2106,1990,"бензин, 1.3 л","64 л.с., налог",механика,задний,голубой,40 000,левый,1 поколение,1.3 MT 21063,49900
Лада,2109,2001,"бензин, 1.5 л","72 л.с., налог",механика,передний,серебристый,250 000,левый,"1 поколение, рестайлинг",0,6666
Лада,2114 Самара,2008,"бензин, 1.6 л","80 л.с., налог",механика,передний,синий,240 000,левый,1 поколение,1.6 MT 21144-20-010,138500
Лада,2111,1999,"бензин, 1.5 л","72 л.с., налог",механика,передний,коричневый,200 000,левый,1 поколение,0,25000
Лада,2114 Самара,2008,"бензин, 1.6 л","81 л.с., налог",механика,передний,зеленый,247 000,левый,1 поколение,0,165000
Лада,2107,2011,0,"72 л.с., налог",автомат,задний,0,22 217,0,1 поколение,0,165000
Лада,Приора,2010,"бензин, 1.6 л","80 л.с., налог",механика,передний,белый,112 846,левый,1 поколение,1.6 MT Стандарт 21702-00-010,175000
Лада,2109,1997,"бензин, 1.5 л","70 л.с., налог",механика,передний,белый,100 000,левый,"1 поколение, рестайлинг",0,42000
Лада,4x4 2121 Нива,1990,"бензин, 1.6 л","73 л.с., налог",механика,4WD,белый,21 360,левый,1 поколение,1.6 MT Base,147000
Лада,2107,2007,"бензин, 1.6 л","74 л.с., налог",механика,задний,бордовый,130 000,0,1 поколение,1.6 MT 21074-30-011,40000
Лада,2111,2001,"бензин, 1.5 л","72 л.с., налог",механика,передний,голубой,222 500,левый,1 поколение,0,87000
Лада,2101,1978,"бензин, 1.3 л","64 л.с., налог",механика,задний,желтый,60 000,левый,1 поколение,1.3 MT 21011,70000
Лада,2107,2008,"бензин, 1.6 л","74 л.с., налог",механика,задний,белый,82 000,0,1 поколение,1.6 MT 21074-40-015,125000
Лада,2114 Самара,2005,"бензин, 1.5 л","77 л.с., налог",механика,передний,серебристый,120 000,левый,1 поколение,1.5 MT Базовая,120000
Лада,4x4 2121 Нива,1995,"бензин, 1.7 л","80 л.с., налог",механика,4WD,белый,50 000,левый,1 поколение,1.7 MT,200000
Лада,Калина,2012,"бензин, 1.6 л","81 л.с., налог",механика,передний,синий,107 500,0,1 поколение,1.6 MT Стандарт 11173-41-040,340000
Лада,2115 Самара,2007,"бензин, 1.6 л","81 л.с., налог",механика,передний,синий,356 770,левый,1 поколение,0,95000
Лада,Ларгус Кросс,2018,"бензин, 1.6 л","106 л.с., налог",механика,передний,серый,220 000,левый,1 поколение,1.6 MT Luxe 5 мест,600000
Лада,2114 Самара,2007,"бензин, 1.6 л","81 л.с., налог",механика,передний,черный,111 111,левый,1 поколение,1.6 MT 21144-20-010,130000
Лада,2114 Самара,2009,"бензин, 1.6 л","81 л.с., налог",механика,передний,зеленый,185 425,левый,1 поколение,1.6 MT 21144-20-010,115000
Лада,2105,1994,"бензин, 1.5 л","71 л.с., налог",механика,задний,красный,100 000,0,1 поколение,0,35000
Лада,2110,2003,"бензин, 1.5 л","91 л.с., налог",механика,передний,зеленый,300 000,0,1 поколение,0,20000
Лада,2114 Самара,2010,"бензин, 1.6 л","81 л.с., налог",механика,передний,серебристый,90 000,левый,1 поколение,1.6 MT 21144-20-010,155000
Лада,2111,2002,"бензин, 1.5 л","91 л.с., налог",механика,передний,зеленый,171 000,левый,1 поколение,1.5i MT Стандарт,100000
Лада,2110,2005,"бензин, 1.6 л","80 л.с., налог",механика,передний,голубой,100 000,0,1 поколение,1.6i MT 21101,130000
Лада,Калина,2006,"бензин, 1.6 л","81 л.с., налог",механика,передний,зеленый,200 000,0,1 поколение,1.6 MT 11183-31-040 Норма,90000
Лада,2114 Самара,2007,"бензин, 1.6 л","81 л.с., налог",механика,передний,серебристый,158 007,левый,1 поколение,1.6 MT 21144-22-010,95000
Лада,2104,2001,"бензин, 1.5 л","71 л.с., налог",механика,задний,зеленый,89 000,левый,1 поколение,1.5 MT 21041 VF,69000
Лада,2114 Самара,2014,"бензин, 1.6 л","81 л.с., налог",механика,передний,черный,100 000,левый,1 поколение,1.6 MT 21144-42-020,280000
Лада,2107,2008,"бензин, 1.6 л","72 л.с., налог",механика,задний,коричневый,150 000,0,1 поколение,0,45000
Лада,2114 Самара,2006,"бензин, 1.5 л","77 л.с., налог",механика,передний,0,160 000,левый,1 поколение,1.5 MT Базовая,66000
Лада,2107,2005,"бензин, 1.6 л","74 л.с., налог",механика,задний,белый,18 000,0,1 поколение,0,70000
Лада,2109,2003,"бензин, 1.5 л","78 л.с., налог",механика,передний,серебристый,160 000,левый,"1 поколение, рестайлинг",1.5i MT,50000
Лада,Приора,2010,"бензин, 1.6 л","80 л.с., налог",механика,передний,белый,238 000,левый,1 поколение,1.6 MT Стандарт 21702-00-010,220000
Лада,2110,2004,"бензин, 1.5 л","78 л.с., налог",механика,передний,серебристый,300 000,0,1 поколение,1.5i MT 21102,30000
Лада,2107,2010,"бензин, 1.6 л","72 л.с., налог",механика,задний,серый,100 000,0,1 поколение,0,120000
Лада,Калина Спорт,2011,"бензин, 1.4 л","89 л.с., налог",механика,передний,серый,136 000,0,1 поколение,"1.4 MT Люкс  075, 076, 096",250000
Лада,2110,2004,"бензин, 1.5 л","78 л.с., налог",механика,передний,серебристый,120 000,0,1 поколение,1.5i MT 21102,85000
Лада,2108,1988,"бензин, 1.3 л","63 л.с., налог",механика,передний,белый,111 111,левый,1 поколение,0,35000
Лада,2112,2006,"бензин, 1.6 л","89 л.с., налог",механика,передний,серебристый,235 000,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,130000
Лада,Ларгус,2020,"бензин, 1.6 л","106 л.с., налог",механика,передний,белый,22 033,левый,1 поколение,1.6 MT Kub,879000
Лада,21099,2001,"бензин, 1.5 л","72 л.с., налог",механика,передний,серый,150 000,левый,1 поколение,1.5 MT 21099-00 Стандарт,35000
